region_id,timestamp,energy_consumption,building_type,population_density,historical_peak
R4,2025-12-01 14:00:00,392.5998636205452,Residential,4746,440
R1,2025-12-01 15:00:00,310.9689954997557,Residential,6781,300
R2,2025-12-01 15:00:00,290.22071517429015,Commercial,7086,450
R3,2025-12-01 15:00:00,290.0191948518525,Residential,7624,400
R4,2025-12-01 15:00:00,325.9864639368735,Residential,4746,440
R1,2025-12-01 16:00:00,360.69225580079564,Residential,6781,300
R2,2025-12-01 16:00:00,345.1884495349462,Commercial,7086,450
R3,2025-12-01 16:00:00,305.562884847669,Residential,7624,400
R4,2025-12-01 16:00:00,213.15948872111434,Residential,4746,440
R1,2025-12-01 17:00:00,308.4052213313265,Residential,6781,300
R2,2025-12-01 17:00:00,161.5707589338919,Commercial,7086,450
R3,2025-12-01 17:00:00,91.4283360469511,Residential,7624,400
R4,2025-12-01 17:00:00,132.99750449312756,Residential,4746,440
R1,2025-12-01 18:00:00,287.66301414038696,Residential,6781,300
R2,2025-12-01 18:00:00,91.71649269679861,Commercial,7086,450
R3,2025-12-01 18:00:00,247.21608221586968,Residential,7624,400
R4,2025-12-01 18:00:00,184.6619235268958,Residential,4746,440
R1,2025-12-01 19:00:00,152.5271716021432,Residential,6781,300
R2,2025-12-01 19:00:00,103.63223233328983,Commercial,7086,450
R3,2025-12-01 19:00:00,88.62540585730592,Residential,7624,400
R4,2025-12-01 19:00:00,191.87507868761503,Residential,4746,440
R1,2025-12-01 20:00:00,109.84999366793869,Residential,6781,300
R2,2025-12-01 20:00:00,198.38388858288562,Commercial,7086,450
R3,2025-12-01 20:00:00,162.08616651226322,Residential,7624,400
R4,2025-12-01 20:00:00,177.98146027459111,Residential,4746,440
R1,2025-12-01 21:00:00,332.98646504340763,Residential,6781,300
R2,2025-12-01 21:00:00,362.38451685515264,Commercial,7086,450
R3,2025-12-01 21:00:00,280.4262346849272,Residential,7624,400
R4,2025-12-01 21:00:00,129.16089128655656,Residential,4746,440
R1,2025-12-01 22:00:00,261.40401499882955,Residential,6781,300
R2,2025-12-01 22:00:00,357.90798928627765,Commercial,7086,450
R3,2025-12-01 22:00:00,264.176293934032,Residential,7624,400
R4,2025-12-01 22:00:00,153.2531970663456,Residential,4746,440
R1,2025-12-01 23:00:00,307.83479218600576,Residential,6781,300
R2,2025-12-01 23:00:00,129.5711531221158,Commercial,7086,450
R3,2025-12-01 23:00:00,85.80688188708453,Residential,7624,400
R4,2025-12-01 23:00:00,250.38476917082022,Residential,4746,440
R1,2025-12-02 00:00:00,391.65510828144596,Residential,6781,300
R2,2025-12-02 00:00:00,332.3918364745318,Commercial,7086,450
R3,2025-12-02 00:00:00,190.70233646963464,Residential,7624,400
R4,2025-12-02 00:00:00,199.79982970831898,Residential,4746,440
R1,2025-12-02 01:00:00,301.05524313621106,Residential,6781,300
R2,2025-12-02 01:00:00,222.51046808345853,Commercial,7086,450
R3,2025-12-02 01:00:00,142.06721829245322,Residential,7624,400
R4,2025-12-02 01:00:00,171.76441842933338,Residential,4746,440
R1,2025-12-02 02:00:00,135.4255930196031,Residential,6781,300
R2,2025-12-02 02:00:00,373.2657192024377,Commercial,7086,450
R3,2025-12-02 02:00:00,147.46376080915425,Residential,7624,400
R4,2025-12-02 02:00:00,171.72464086768673,Residential,4746,440
R1,2025-12-02 03:00:00,109.42007019610472,Residential,6781,300
R2,2025-12-02 03:00:00,313.02970413170215,Commercial,7086,450
R3,2025-12-02 03:00:00,242.67964158404578,Residential,7624,400
R4,2025-12-02 03:00:00,294.32685316711786,Residential,4746,440
R1,2025-12-02 04:00:00,399.5232017819766,Residential,6781,300
R2,2025-12-02 04:00:00,114.91622823447507,Commercial,7086,450
R3,2025-12-02 04:00:00,291.0843528604611,Residential,7624,400
R4,2025-12-02 04:00:00,225.79045317229418,Residential,4746,440
R1,2025-12-02 05:00:00,297.3881079011779,Residential,6781,300
R2,2025-12-02 05:00:00,273.6386150581502,Commercial,7086,450
R3,2025-12-02 05:00:00,161.6561563696105,Residential,7624,400
R4,2025-12-02 05:00:00,153.41638353485664,Residential,4746,440
R1,2025-12-02 06:00:00,138.3243934767185,Residential,6781,300
R2,2025-12-02 06:00:00,170.5888989438165,Commercial,7086,450
R3,2025-12-02 06:00:00,398.34491236703354,Residential,7624,400
R4,2025-12-02 06:00:00,305.05453141473254,Residential,4746,440
R1,2025-12-02 07:00:00,316.26797711528366,Residential,6781,300
R2,2025-12-02 07:00:00,242.05873212900235,Commercial,7086,450
R3,2025-12-02 07:00:00,320.08291789243117,Residential,7624,400
R4,2025-12-02 07:00:00,120.358158367373,Residential,4746,440
R1,2025-12-02 08:00:00,344.5670453085421,Residential,6781,300
R2,2025-12-02 08:00:00,270.74264639474285,Commercial,7086,450
R3,2025-12-02 08:00:00,253.1117694541881,Residential,7624,400
R4,2025-12-02 08:00:00,118.59592131435139,Residential,4746,440
R1,2025-12-02 09:00:00,315.9519847715927,Residential,6781,300
R2,2025-12-02 09:00:00,389.21554275670155,Commercial,7086,450
R3,2025-12-02 09:00:00,253.38430236596975,Residential,7624,400
R4,2025-12-02 09:00:00,166.3055989582979,Residential,4746,440
R1,2025-12-02 10:00:00,375.73031530084734,Residential,6781,300
R2,2025-12-02 10:00:00,206.20113517064127,Commercial,7086,450
R3,2025-12-02 10:00:00,367.68844828134763,Residential,7624,400
R4,2025-12-02 10:00:00,147.9304194740444,Residential,4746,440
R1,2025-12-02 11:00:00,273.0528332758121,Residential,6781,300
R2,2025-12-02 11:00:00,106.00913134037614,Commercial,7086,450
R3,2025-12-02 11:00:00,189.52621328239815,Residential,7624,400
R4,2025-12-02 11:00:00,296.4820589737643,Residential,4746,440
R1,2025-12-02 12:00:00,231.58732363419432,Residential,6781,300
R2,2025-12-02 12:00:00,185.83942711066942,Commercial,7086,450
R3,2025-12-02 12:00:00,271.61986170105877,Residential,7624,400
R4,2025-12-02 12:00:00,281.7767103386325,Residential,4746,440
R1,2025-12-02 13:00:00,133.69754738989815,Residential,6781,300
R2,2025-12-02 13:00:00,94.54258465601107,Commercial,7086,450
R3,2025-12-02 13:00:00,156.0924623011578,Residential,7624,400
R4,2025-12-02 13:00:00,174.5008857014024,Residential,4746,440
R1,2025-12-02 14:00:00,290.3786824840489,Residential,6781,300
R2,2025-12-02 14:00:00,388.0331971378197,Commercial,7086,450
R3,2025-12-02 14:00:00,392.90805045383337,Residential,7624,400
R4,2025-12-02 14:00:00,205.7724360900778,Residential,4746,440
R1,2025-12-02 15:00:00,290.74195030151486,Residential,6781,300
R2,2025-12-02 15:00:00,265.0401844635046,Commercial,7086,450
R3,2025-12-02 15:00:00,346.6890364578672,Residential,7624,400
R4,2025-12-02 15:00:00,306.1005791696344,Residential,4746,440
R1,2025-12-02 16:00:00,398.9713869749266,Residential,6781,300
R2,2025-12-02 16:00:00,298.70590581713236,Commercial,7086,450
R3,2025-12-02 16:00:00,379.11198445086745,Residential,7624,400
R4,2025-12-02 16:00:00,167.3394141531934,Residential,4746,440
R1,2025-12-02 17:00:00,235.77690343788603,Residential,6781,300
R2,2025-12-02 17:00:00,315.32468220667965,Commercial,7086,450
R3,2025-12-02 17:00:00,165.00517292767148,Residential,7624,400
R4,2025-12-02 17:00:00,228.11127332035983,Residential,4746,440
R1,2025-12-02 18:00:00,352.18117286822945,Residential,6781,300
R2,2025-12-02 18:00:00,325.16034461122496,Commercial,7086,450
R3,2025-12-02 18:00:00,102.30535010648379,Residential,7624,400
R4,2025-12-02 18:00:00,177.26243497690245,Residential,4746,440
R1,2025-12-02 19:00:00,391.7343119745923,Residential,6781,300
R2,2025-12-02 19:00:00,247.12608261722204,Commercial,7086,450
R3,2025-12-02 19:00:00,275.5871765281214,Residential,7624,400
R4,2025-12-02 19:00:00,118.75864556461127,Residential,4746,440
R1,2025-12-02 20:00:00,242.7508462159238,Residential,6781,300
R2,2025-12-02 20:00:00,347.17154026083625,Commercial,7086,450
R3,2025-12-02 20:00:00,350.465985201894,Residential,7624,400
R4,2025-12-02 20:00:00,213.32288821290558,Residential,4746,440
R1,2025-12-02 21:00:00,394.8209006269119,Residential,6781,300
R2,2025-12-02 21:00:00,144.9616129754135,Commercial,7086,450
R3,2025-12-02 21:00:00,284.75745856618323,Residential,7624,400
R4,2025-12-02 21:00:00,173.62499003969108,Residential,4746,440
R1,2025-12-02 22:00:00,382.8151626689748,Residential,6781,300
R2,2025-12-02 22:00:00,107.82711681709645,Commercial,7086,450
R3,2025-12-02 22:00:00,265.14224484710155,Residential,7624,400
R4,2025-12-02 22:00:00,270.22811390152526,Residential,4746,440
R1,2025-12-02 23:00:00,310.3259324404819,Residential,6781,300
R2,2025-12-02 23:00:00,139.54532409715083,Commercial,7086,450
R3,2025-12-02 23:00:00,138.33624845059674,Residential,7624,400
R4,2025-12-02 23:00:00,316.7353902875716,Residential,4746,440
R1,2025-12-03 00:00:00,229.69303309578382,Residential,6781,300
R2,2025-12-03 00:00:00,127.69553382794757,Commercial,7086,450
R3,2025-12-03 00:00:00,102.26847846498679,Residential,7624,400
R4,2025-12-03 00:00:00,187.65519185702385,Residential,4746,440
R1,2025-12-03 01:00:00,382.53189566563725,Residential,6781,300
R2,2025-12-03 01:00:00,224.56047695396762,Commercial,7086,450
R3,2025-12-03 01:00:00,357.5725343577874,Residential,7624,400
R4,2025-12-03 01:00:00,99.50856806251292,Residential,4746,440
R1,2025-12-03 02:00:00,320.277885111774,Residential,6781,300
R2,2025-12-03 02:00:00,332.8028349682653,Commercial,7086,450
R3,2025-12-03 02:00:00,266.320204944712,Residential,7624,400
R4,2025-12-03 02:00:00,184.5608260011382,Residential,4746,440
R1,2025-12-03 03:00:00,191.87730403640361,Residential,6781,300
R2,2025-12-03 03:00:00,329.11965065325876,Commercial,7086,450
R3,2025-12-03 03:00:00,108.68866465098637,Residential,7624,400
R4,2025-12-03 03:00:00,298.40143916071867,Residential,4746,440
R1,2025-12-03 04:00:00,321.1233361491249,Residential,6781,300
R2,2025-12-03 04:00:00,385.020712681978,Commercial,7086,450
R3,2025-12-03 04:00:00,162.96318818456717,Residential,7624,400
R4,2025-12-03 04:00:00,109.07441096998419,Residential,4746,440
R1,2025-12-03 05:00:00,130.15975596555916,Residential,6781,300
R2,2025-12-03 05:00:00,175.22817173203575,Commercial,7086,450
R3,2025-12-03 05:00:00,129.58749828039853,Residential,7624,400
R4,2025-12-03 05:00:00,351.5405995783505,Residential,4746,440
R1,2025-12-03 06:00:00,320.5443490284994,Residential,6781,300
R2,2025-12-03 06:00:00,338.48425029115316,Commercial,7086,450
R3,2025-12-03 06:00:00,86.80695321775964,Residential,7624,400
R4,2025-12-03 06:00:00,254.1595036986271,Residential,4746,440
R1,2025-12-03 07:00:00,118.48543079861852,Residential,6781,300
R2,2025-12-03 07:00:00,110.64099965551321,Commercial,7086,450
R3,2025-12-03 07:00:00,187.72852349729106,Residential,7624,400
R4,2025-12-03 07:00:00,171.31599195297554,Residential,4746,440
R1,2025-12-03 08:00:00,286.4858643184089,Residential,6781,300
R2,2025-12-03 08:00:00,186.76607183493962,Commercial,7086,450
R3,2025-12-03 08:00:00,343.3480595326856,Residential,7624,400
R4,2025-12-03 08:00:00,115.77225771459794,Residential,4746,440
R1,2025-12-03 09:00:00,213.26365373977367,Residential,6781,300
R2,2025-12-03 09:00:00,162.99486905039907,Commercial,7086,450
R3,2025-12-03 09:00:00,129.59500235653314,Residential,7624,400
R4,2025-12-03 09:00:00,303.941942653956,Residential,4746,440
R1,2025-12-03 10:00:00,218.33004325709769,Residential,6781,300
R2,2025-12-03 10:00:00,385.9091786333057,Commercial,7086,450
R3,2025-12-03 10:00:00,163.09665571073538,Residential,7624,400
R4,2025-12-03 10:00:00,220.43642619086197,Residential,4746,440
R1,2025-12-03 11:00:00,172.53000645948168,Residential,6781,300
R2,2025-12-03 11:00:00,282.14302361062823,Commercial,7086,450
R3,2025-12-03 11:00:00,122.52461227547553,Residential,7624,400
R4,2025-12-03 11:00:00,247.56584618607064,Residential,4746,440
R1,2025-12-03 12:00:00,86.3434069032779,Residential,6781,300
R2,2025-12-03 12:00:00,359.5132127616524,Commercial,7086,450
R3,2025-12-03 12:00:00,192.18500895616722,Residential,7624,400
R4,2025-12-03 12:00:00,100.21526511849942,Residential,4746,440
R1,2025-12-03 13:00:00,297.5346048500768,Residential,6781,300
R2,2025-12-03 13:00:00,147.97845893248007,Commercial,7086,450
R3,2025-12-03 13:00:00,89.600584544967,Residential,7624,400
R4,2025-12-03 13:00:00,242.4135708735576,Residential,4746,440
R1,2025-12-03 14:00:00,292.32148306251315,Residential,6781,300
R2,2025-12-03 14:00:00,300.33651183440946,Commercial,7086,450
R3,2025-12-03 14:00:00,133.71682623919187,Residential,7624,400
R4,2025-12-03 14:00:00,113.63345405823459,Residential,4746,440
R1,2025-12-03 15:00:00,311.3775919596908,Residential,6781,300
R2,2025-12-03 15:00:00,135.95655597857896,Commercial,7086,450
R3,2025-12-03 15:00:00,255.17174411608778,Residential,7624,400
R4,2025-12-03 15:00:00,195.1196259269454,Residential,4746,440
R1,2025-12-03 16:00:00,243.20583724812022,Residential,6781,300
R2,2025-12-03 16:00:00,376.37254392701414,Commercial,7086,450
R3,2025-12-03 16:00:00,375.5989597111871,Residential,7624,400
R4,2025-12-03 16:00:00,317.3925771674459,Residential,4746,440
R1,2025-12-03 17:00:00,277.1790024722716,Residential,6781,300
R2,2025-12-03 17:00:00,199.5367291028933,Commercial,7086,450
R3,2025-12-03 17:00:00,325.5624834357292,Residential,7624,400
R4,2025-12-03 17:00:00,271.6975298831573,Residential,4746,440
R1,2025-12-03 18:00:00,315.45932462942784,Residential,6781,300
R2,2025-12-03 18:00:00,162.78512999619565,Commercial,7086,450
R3,2025-12-03 18:00:00,151.04220189395392,Residential,7624,400
R4,2025-12-03 18:00:00,230.30063326928558,Residential,4746,440
R1,2025-12-03 19:00:00,241.70381359150096,Residential,6781,300
R2,2025-12-03 19:00:00,161.01886252648413,Commercial,7086,450
R3,2025-12-03 19:00:00,310.3802805201516,Residential,7624,400
R4,2025-12-03 19:00:00,239.11163787408827,Residential,4746,440
R1,2025-12-03 20:00:00,208.8920773387491,Residential,6781,300
R2,2025-12-03 20:00:00,183.03559453511807,Commercial,7086,450
R3,2025-12-03 20:00:00,167.37335751607316,Residential,7624,400
R4,2025-12-03 20:00:00,120.5954883695203,Residential,4746,440
R1,2025-12-03 21:00:00,129.12373627124782,Residential,6781,300
R2,2025-12-03 21:00:00,366.43010251075737,Commercial,7086,450
R3,2025-12-03 21:00:00,215.66126177722902,Residential,7624,400
R4,2025-12-03 21:00:00,232.50258579030404,Residential,4746,440
R1,2025-12-03 22:00:00,336.8714767995956,Residential,6781,300
R2,2025-12-03 22:00:00,390.8557682596136,Commercial,7086,450
R3,2025-12-03 22:00:00,202.33634328287127,Residential,7624,400
R4,2025-12-03 22:00:00,277.52525942521436,Residential,4746,440
R1,2025-12-03 23:00:00,153.40557598314416,Residential,6781,300
R2,2025-12-03 23:00:00,262.653099178831,Commercial,7086,450
R3,2025-12-03 23:00:00,346.69980581931725,Residential,7624,400
R4,2025-12-03 23:00:00,349.685213574168,Residential,4746,440
R1,2025-12-04 00:00:00,99.93266611223916,Residential,6781,300
R2,2025-12-04 00:00:00,385.3982986592073,Commercial,7086,450
R3,2025-12-04 00:00:00,289.26998288246705,Residential,7624,400
R4,2025-12-04 00:00:00,338.1180583549584,Residential,4746,440
R1,2025-12-04 01:00:00,299.3974200847162,Residential,6781,300
R2,2025-12-04 01:00:00,392.4016903091208,Commercial,7086,450
R3,2025-12-04 01:00:00,107.88833898384593,Residential,7624,400
R4,2025-12-04 01:00:00,270.29655632509724,Residential,4746,440
R1,2025-12-04 02:00:00,390.6930178492254,Residential,6781,300
R2,2025-12-04 02:00:00,228.1482491815334,Commercial,7086,450
R3,2025-12-04 02:00:00,197.56752672037496,Residential,7624,400
R4,2025-12-04 02:00:00,83.03380650820841,Residential,4746,440
R1,2025-12-04 03:00:00,280.34551837946515,Residential,6781,300
R2,2025-12-04 03:00:00,152.60635022650266,Commercial,7086,450
R3,2025-12-04 03:00:00,98.28673248611591,Residential,7624,400
R4,2025-12-04 03:00:00,267.47428046519497,Residential,4746,440
R1,2025-12-04 04:00:00,189.92255376267704,Residential,6781,300
R2,2025-12-04 04:00:00,349.5041539347215,Commercial,7086,450
R3,2025-12-04 04:00:00,205.68614226548783,Residential,7624,400
R4,2025-12-04 04:00:00,320.8829346647758,Residential,4746,440
R1,2025-12-04 05:00:00,187.3462143670278,Residential,6781,300
R2,2025-12-04 05:00:00,234.88239587567162,Commercial,7086,450
R3,2025-12-04 05:00:00,222.91307975781757,Residential,7624,400
R4,2025-12-04 05:00:00,250.39422290791637,Residential,4746,440
R1,2025-12-04 06:00:00,288.9831099629186,Residential,6781,300
R2,2025-12-04 06:00:00,87.25129765164141,Commercial,7086,450
R3,2025-12-04 06:00:00,154.41901107378055,Residential,7624,400
R4,2025-12-04 06:00:00,320.0371592068513,Residential,4746,440
R1,2025-12-04 07:00:00,99.21084100495935,Residential,6781,300
R2,2025-12-04 07:00:00,375.04487319744965,Commercial,7086,450
R3,2025-12-04 07:00:00,129.30636122608232,Residential,7624,400
R4,2025-12-04 07:00:00,88.5143094710553,Residential,4746,440
R1,2025-12-04 08:00:00,85.97349125410605,Residential,6781,300
R2,2025-12-04 08:00:00,185.20358733888852,Commercial,7086,450
R3,2025-12-04 08:00:00,109.24929842363082,Residential,7624,400
R4,2025-12-04 08:00:00,154.6507450437623,Residential,4746,440
R1,2025-12-04 09:00:00,220.0951117133374,Residential,6781,300
R2,2025-12-04 09:00:00,260.8280398413458,Commercial,7086,450
R3,2025-12-04 09:00:00,155.71537934102057,Residential,7624,400
R4,2025-12-04 09:00:00,264.054807896228,Residential,4746,440
R1,2025-12-04 10:00:00,282.11716007924576,Residential,6781,300
R2,2025-12-04 10:00:00,149.2952986783033,Commercial,7086,450
R3,2025-12-04 10:00:00,302.69310328330243,Residential,7624,400
R4,2025-12-04 10:00:00,374.379899097252,Residential,4746,440
R1,2025-12-04 11:00:00,144.83335774325087,Residential,6781,300
R2,2025-12-04 11:00:00,162.91352469016482,Commercial,7086,450
R3,2025-12-04 11:00:00,207.55477737171137,Residential,7624,400
R4,2025-12-04 11:00:00,346.829807865029,Residential,4746,440
R1,2025-12-04 12:00:00,266.30765585184236,Residential,6781,300
R2,2025-12-04 12:00:00,343.0511037246463,Commercial,7086,450
R3,2025-12-04 12:00:00,219.75438221974642,Residential,7624,400
R4,2025-12-04 12:00:00,255.32542156546324,Residential,4746,440
R1,2025-12-04 13:00:00,268.16480394268314,Residential,6781,300
R2,2025-12-04 13:00:00,394.7529765639855,Commercial,7086,450
R3,2025-12-04 13:00:00,88.30318562992503,Residential,7624,400
R4,2025-12-04 13:00:00,164.73509551302692,Residential,4746,440
R1,2025-12-04 14:00:00,101.85811508304442,Residential,6781,300
R2,2025-12-04 14:00:00,389.0655985759856,Commercial,7086,450
R3,2025-12-04 14:00:00,234.729401530324,Residential,7624,400
R4,2025-12-04 14:00:00,217.67008607908593,Residential,4746,440
R1,2025-12-04 15:00:00,387.38886627248115,Residential,6781,300
R2,2025-12-04 15:00:00,235.31550779505005,Commercial,7086,450
R3,2025-12-04 15:00:00,287.59342281056695,Residential,7624,400
R4,2025-12-04 15:00:00,262.8722863040514,Residential,4746,440
R1,2025-12-04 16:00:00,273.04880777657564,Residential,6781,300
R2,2025-12-04 16:00:00,366.5544112075468,Commercial,7086,450
R3,2025-12-04 16:00:00,353.7366162277001,Residential,7624,400
R4,2025-12-04 16:00:00,330.53322519493656,Residential,4746,440
R1,2025-12-04 17:00:00,295.51606188686554,Residential,6781,300
R2,2025-12-04 17:00:00,266.8943006719525,Commercial,7086,450
R3,2025-12-04 17:00:00,167.8769202468747,Residential,7624,400
R4,2025-12-04 17:00:00,84.80732397327372,Residential,4746,440
R1,2025-12-04 18:00:00,345.6213995732243,Residential,6781,300
R2,2025-12-04 18:00:00,285.9873507433,Commercial,7086,450
R3,2025-12-04 18:00:00,127.31452951165217,Residential,7624,400
R4,2025-12-04 18:00:00,171.87784339095796,Residential,4746,440
R1,2025-12-04 19:00:00,227.36177127059307,Residential,6781,300
R2,2025-12-04 19:00:00,146.7925491521347,Commercial,7086,450
R3,2025-12-04 19:00:00,286.0027711984434,Residential,7624,400
R4,2025-12-04 19:00:00,94.49378891591056,Residential,4746,440
R1,2025-12-04 20:00:00,325.33822897765094,Residential,6781,300
R2,2025-12-04 20:00:00,323.56827150260983,Commercial,7086,450
R3,2025-12-04 20:00:00,173.16917923157686,Residential,7624,400
R4,2025-12-04 20:00:00,146.4611146045052,Residential,4746,440
R1,2025-12-04 21:00:00,353.50947659516675,Residential,6781,300
R2,2025-12-04 21:00:00,280.03361919681504,Commercial,7086,450
R3,2025-12-04 21:00:00,130.55935414843407,Residential,7624,400
R4,2025-12-04 21:00:00,153.2181809313947,Residential,4746,440
R1,2025-12-04 22:00:00,305.0600871554829,Residential,6781,300
R2,2025-12-04 22:00:00,253.51863475507508,Commercial,7086,450
R3,2025-12-04 22:00:00,315.5421098419609,Residential,7624,400
R4,2025-12-04 22:00:00,225.64251615943223,Residential,4746,440
R1,2025-12-04 23:00:00,209.10369770757802,Residential,6781,300
R2,2025-12-04 23:00:00,397.6091425564646,Commercial,7086,450
R3,2025-12-04 23:00:00,299.2944443886097,Residential,7624,400
R4,2025-12-04 23:00:00,358.18592929361864,Residential,4746,440
R1,2025-12-05 00:00:00,114.79673847255427,Residential,6781,300
R2,2025-12-05 00:00:00,324.48720793630093,Commercial,7086,450
R3,2025-12-05 00:00:00,354.02114434092897,Residential,7624,400
R4,2025-12-05 00:00:00,299.2370847526796,Residential,4746,440
R1,2025-12-05 01:00:00,128.65227751803528,Residential,6781,300
R2,2025-12-05 01:00:00,140.53989871072258,Commercial,7086,450
R3,2025-12-05 01:00:00,123.09932414343876,Residential,7624,400
R4,2025-12-05 01:00:00,127.47947883403822,Residential,4746,440
R1,2025-12-05 02:00:00,128.16919500913377,Residential,6781,300
R2,2025-12-05 02:00:00,266.4081459467501,Commercial,7086,450
R3,2025-12-05 02:00:00,382.7664537222391,Residential,7624,400
R4,2025-12-05 02:00:00,135.70039832337113,Residential,4746,440
R1,2025-12-05 03:00:00,307.1743941745205,Residential,6781,300
R2,2025-12-05 03:00:00,302.317171688191,Commercial,7086,450
R3,2025-12-05 03:00:00,274.8000724379692,Residential,7624,400
R4,2025-12-05 03:00:00,312.72918705875213,Residential,4746,440
R1,2025-12-05 04:00:00,207.02304813876097,Residential,6781,300
R2,2025-12-05 04:00:00,328.5921666992488,Commercial,7086,450
R3,2025-12-05 04:00:00,299.2532663252524,Residential,7624,400
R4,2025-12-05 04:00:00,343.81920621401616,Residential,4746,440
R1,2025-12-05 05:00:00,383.9012621114248,Residential,6781,300
R2,2025-12-05 05:00:00,329.8033178242547,Commercial,7086,450
R3,2025-12-05 05:00:00,196.88778835902843,Residential,7624,400
R4,2025-12-05 05:00:00,391.7506562229847,Residential,4746,440
R1,2025-12-05 06:00:00,234.53688290879887,Residential,6781,300
R2,2025-12-05 06:00:00,123.83867399836461,Commercial,7086,450
R3,2025-12-05 06:00:00,399.4105580060022,Residential,7624,400
R4,2025-12-05 06:00:00,169.02967693965522,Residential,4746,440
R1,2025-12-05 07:00:00,233.9637595228284,Residential,6781,300
R2,2025-12-05 07:00:00,313.99159462802174,Commercial,7086,450
R3,2025-12-05 07:00:00,228.8214149763478,Residential,7624,400
R4,2025-12-05 07:00:00,222.63311795498853,Residential,4746,440
R1,2025-12-05 08:00:00,358.6288562423337,Residential,6781,300
R2,2025-12-05 08:00:00,374.37414476534343,Commercial,7086,450
R3,2025-12-05 08:00:00,381.56242973000724,Residential,7624,400
